sub_sport_category,description,reference_website,level
Rugby Sevens,"A variation of Rugby Union with seven players per team, played on a full-size field but with shorter match durations, and now an Olympic sport.","https://www.topendsports.com/sport/list/rugby-7s.htm",2
Rugby X,"A five-a-side version of rugby played on a smaller field with modified rules.","https://www.topendsports.com/sport/list/rugby-x.htm",2
Arena Rugby,"An indoor version of Rugby Union played on a smaller field, leading to a faster and higher-scoring game.","https://www.topendsports.com/sport/list/rugby-arena.htm",2
Rugby League Nines,"A variation of Rugby League with nine players per team, played with a focus on speed and open play.","https://www.topendsports.com/sport/list/rugby-league-nines.htm",2
Rugby League Sevens,"A seven-a-side version of Rugby League played with fewer players and faster gameplay.","https://www.topendsports.com/sport/list/rugby-league-sevens.htm",2
Beach Rugby,"A variation of rugby played on sand, typically with fewer players and adapted rules.","https://www.topendsports.com/sport/list/rugby-beach.htm",2
Snow Rugby,"A version of rugby played on snow, often in shin-deep conditions, requiring modifications to standard gameplay.","https://www.topendsports.com/sport/list/rugby-snow.htm",2
Touch Rugby,"A non-contact version of rugby where players must touch the ball carrier instead of tackling.","https://www.topendsports.com/sport/list/rugby-touch.htm",2
Tag Rugby,"A non-contact rugby variant where a Velcro-attached tag is pulled off the ball carrier instead of a tackle.","https://www.topendsports.com/sport/list/rugby-tag.htm",2
Walking Rugby,"A rugby adaptation for elderly players and those with limited mobility, played at a walking pace.","https://www.topendsports.com/sport/list/rugby-walking.htm",2
Yubi Lakpi,"A traditional seven-a-side ball game from Manipur, India, similar to rugby but played using a coconut.","https://www.topendsports.com/sport/list/yubi-lakpi.htm",2
Lelo Burti,"A Georgian folk sport that closely resembles rugby, played as a full-contact ball game.","https://www.topendsports.com/sport/list/lelo-burti.htm",2
American Football,"A full-contact sport evolved from rugby, where players aim to get the ball into the opponent's end zone by running or passing. Players wear protective gear, and forward passing is allowed.","https://www.topendsports.com/sport/list/football-american.htm",2
Canadian Football,"A variation of American Football played in Canada with 12 players per team, different field dimensions, and three downs to gain 10 yards.","https://www.topendsports.com/sport/list/football-canadian.htm",2
Six-Man Football,"A smaller team version of American Football designed for schools with fewer students, featuring only six players per team.","https://www.topendsports.com/sport/list/football-six-man.htm",2
Eight-Man Football,"A variation of American Football with eight players per team, offering a more open field and faster play.","https://www.topendsports.com/sport/list/football-8-man.htm",2
Nine-Man Football,"A version of American Football with nine players per team, balancing elements of traditional and small-team formats.","https://www.topendsports.com/sport/list/football-9-man.htm",2
Flag Football,"A non-contact version of American Football where defenders remove a flag or belt from the ball carrier instead of tackling.","https://www.topendsports.com/sport/list/football-flag.htm",2
Touch Football,"A non-contact variation where players only need to touch the ball carrier instead of tackling.","https://www.topendsports.com/sport/list/football-touch.htm",2
Arena Football,"An indoor version of American Football played on a smaller field, leading to a faster-paced and high-scoring game.","https://www.topendsports.com/sport/list/football-arena.htm",2
Sprint Football,"A varsity sport in the USA for lightweight players, emphasizing speed and agility.","https://www.topendsports.com/sport/list/football-sprint.htm",2
Kayak Football,"A variation of football played in kayaks, where players attempt to get a small soft football into the end zone.","https://www.topendsports.com/sport/list/kayak-football.htm",2
Ultimate Football,"A version of football played with a frisbee instead of a ball, blending elements of football and ultimate frisbee.","https://www.topendsports.com/sport/list/ultimate.htm",2
Lingerie Football,"A variation of American Football played by women wearing lingerie-style uniforms, originally a promotional event now a league sport.","https://www.topendsports.com/sport/unusual/lingerie-football.htm",2
Unicycle Football,"A unique version of American Football where players ride unicycles while playing.","https://www.topendsports.com/sport/unusual/unicycle-football.htm",2
Australian Rules Football,"A unique full-contact sport played in Australia with 18 players per team on an oval field, known locally as 'Footy'.","https://www.topendsports.com/sport/list/football-australian.htm",2
Nine-a-side Footy,"A modified version of Australian Rules Football with nine players per team, divided into forwards, centers, and backs, played on various field sizes.","https://www.topendsports.com/sport/list/football-nine-a-side.htm",2
Metro Footy,"A version of Nine-a-side Footy developed in the USA as an introductory game leading into full AFL leagues.","https://www.topendsports.com/sport/list/footy-metro.htm",2
Rec Footy,"A social and inclusive non-contact version of Australian Rules Football, designed for players of all genders, shapes, and sizes.","https://www.topendsports.com/sport/list/footy-rec.htm",2
Gaelic Football,"A traditional Irish sport where players aim to kick or punch a round ball into the net or over the crossbar, using goals similar to rugby but with an attached net.","https://www.topendsports.com/sport/list/football-gaelic.htm",2
International Rules,"A game combining elements of Australian Rules Football and Gaelic Football, designed for cross-code competition.","https://www.topendsports.com/sport/list/international-rules.htm",2
Samoa Rules,"A sport inspired by Australian Rules Football and Rugby Union, played in Samoa.","https://www.topendsports.com/sport/list/samoa-rules.htm",2
Rugby Fives,"an indoor court game played with gloves, hitting the ball against the wall.","https://www.topendsports.com/sport/list/fives-rugby.htm",2
